http_time_avg,bytes_A,packet_inter_arrivel_entropy,packet_inter_arrivel_min,ttl_min,device_category
0,743,4.459431619,1.00E-05,41,0
0,743,4.889680181,0,52,0
0,743,4.889680181,0,53,0
0,743,4.889680181,0,51,0
0,743,4.889680181,9.54E-07,50,0
0,743,4.889680181,0,51,0
0,743,4.889680181,0,50,0
0,743,4.889680181,0,49,0
0,743,4.459431619,9.06E-06,41,0
0,743,4.889680181,9.54E-07,54,0
0,74,1,0.016282082,42,0
0,743,4.221928095,9.54E-07,41,0
0,743,4.889680181,0,41,0
0,743,4.889680181,2.00E-05,52,0
0,743,4.889680181,1.98E-05,42,0
0,743,4.889680181,0,53,0
0,743,4.889680181,8.11E-06,51,0
0,0,2.584962501,0.499252081,64,0
0,743,4.889680181,0,52,0
0,743,4.889680181,9.54E-07,51,0
0,743,4.623516641,9.54E-07,42,0
0,743,4.459431619,0,41,0
0,743,4.889680181,0,54,0
0,743,4.889680181,0,51,0
0,743,4.368522528,0,41,0
0,743,4.889680181,0,50,0
0,743,4.889680181,0,50,0
0,743,4.889680181,0,50,0
0,743,4.889680181,0,50,0
0,743,4.889680181,0,50,0
0.003086,743,3.906890596,1.00E-05,64,0
0.004352,743,3.906890596,0,64,0
0.003146,743,3.906890596,8.11E-06,64,0
0,743,4.889680181,1.91E-06,51,0
0,743,4.889680181,0,51,0
0,743,4.889680181,0,52,0
0,743,4.142664356,6.91E-06,52,0
0,60,0,0.039274931,64,0
0,743,4.754887502,3.10E-06,52,0
0,743,4.247927513,8.11E-06,45,0
0,743,4.247927513,2.15E-06,52,0
0,743,4.889680181,1.19E-06,52,0
0,743,4.889680181,0,52,0
0,743,4.889680181,8.11E-06,52,0
0,743,4.889680181,0,52,0
0,743,4.889680181,0,51,0
0,743,4.889680181,9.06E-06,53,0
0,743,4.807354922,2.86E-06,64,0
0,743,4.889680181,0,54,0
0,743,4.221928095,7.15E-06,64,0
0,743,4.889680181,9.54E-07,64,0
0,743,4.523561956,7.99E-05,51,0
0,743,4.584962501,1.12E-05,53,0
0,743,4.807354922,0,52,0
0,743,4.889680181,6.91E-06,52,0
0,743,4.700439718,9.54E-07,52,0
0,743,4.889680181,0,52,0
0,743,4.459431619,7.87E-06,41,0
0,743,4.321928095,1.12E-05,41,0
0,743,4.584962501,1.00E-05,43,0
0,743,4.889680181,0,51,0
0.002528,743,4,1.91E-06,64,0
0.005106,743,4,0,64,0
0.003038,743,3.906890596,7.87E-06,64,0
0.004376,743,3.906890596,4.10E-05,64,0
0,743,4.889680181,0,51,0
0,743,4.889680181,0,53,0
0,743,4.584962501,9.54E-07,64,0
0,743,4.889680181,0,54,0
0,743,4.889680181,0,64,0
0,743,4.321928095,1.12E-05,41,0
0,206,2.584962501,1.60E-05,42,0
0,743,4.321928095,2.15E-06,41,0
0,743,4.523561956,1.91E-06,41,0
0.002755,743,3.584962501,1.41E-05,64,0
0.00436,743,3.459431619,3.10E-05,64,0
0.002847,743,3.906890596,0,64,0
0.004176,743,3.906890596,1.41E-05,64,0
0,743,4.889680181,0,53,0
1789569706,497,3.700439718,3.00E-05,49,5
0,743,3.906890596,0.002834082,42,5
0,743,3.906890596,0.002910137,41,5
0,743,3.906890596,0.004031897,42,5
0,743,4.64385619,0.002374887,41,5
0,743,3.906890596,0.004213095,42,5
0,743,4.700439718,0.002223015,40,5
0,743,4.700439718,0.000251055,41,5
0,743,3.906890596,0.002985954,41,5
0,743,4.584962501,3.81E-05,42,5
0,743,3.906890596,0.002242088,42,5
0,743,4.700439718,0.000215054,42,5
0,743,4.584962501,0.002104044,42,5
0,743,4.700439718,0.002340794,40,5
0,743,3.906890596,0.000269175,42,5
0,743,4.584962501,0.003607035,42,5
0,743,3.906890596,0.00018096,42,5
0,743,4.584962501,0.002739906,41,5
0,743,4.584962501,0.00022006,41,5
0,743,3.906890596,7.89E-05,42,5
0,743,4.700439718,0.002288103,41,5
0,743,4.700439718,0.00233078,42,5
0,743,3.906890596,0.004432917,41,5
0,743,4.700439718,0.004082918,40,5
0,743,4.700439718,0.002693176,41,5
0,743,3.906890596,0.002342939,42,5
0,743,4.700439718,0.00207901,42,5
0,743,4.087462841,9.11E-05,41,5
0,743,4.584962501,0.002560139,42,5
0,743,3.906890596,0.003041029,41,5
0,743,4.584962501,0.002109051,43,5
0,743,4.700439718,0.006551981,40,5
0,743,4.700439718,3.89E-05,42,5
0,743,3.807354922,0.002258062,41,5
0,743,4.64385619,0.001208067,40,5
0,743,4.889680181,0.001730919,40,5
0,743,3.807354922,0.00317812,43,5
82.954135,743,4.889680181,0,47,5
0,743,3.807354922,8.89E-05,40,5
0,743,4.392317423,0.004297972,41,5
0,743,4.754887502,2.00E-05,43,5
0,743,4,0.00411582,41,5
0,743,4.64385619,4.01E-05,41,5
0,743,4.889680181,9.54E-07,41,5
0,743,3.807354922,0.002468109,41,5
0,743,3.807354922,0.002200842,41,5
0,743,4.64385619,0.005358934,42,5
0,743,4.64385619,0.000740767,40,5
0,743,4.087462841,0,42,5
0,743,4.392317423,2.81E-05,107,5
0,743,3.807354922,0.000150919,42,5
0,743,4.64385619,0.000221014,41,5
0,743,4.889680181,0.00013113,41,5
0,743,3.807354922,0.002485991,41,5
0,743,3.807354922,0.002232075,42,5
0,743,4.754887502,0.002285004,41,5
0,743,4.889680181,3.29E-05,40,5
0,743,3.807354922,0.00022912,42,5
0,743,3.807354922,9.11E-05,41,5
0,743,4.700439718,0.000221014,41,5
0,743,4.889680181,3.00E-05,41,5
0,743,3.807354922,2.98E-05,41,5
0,743,3.807354922,0.009126902,42,5
0,743,4.807354922,0.002573013,41,5
0,743,4.700439718,0.001027107,42,5
0,743,4.321928095,9.06E-06,41,5
0,743,3.807354922,0.002211094,42,5
