http_time_avg,ttl_avg,packet_inter_arrivel_B_firstQ,packet_inter_arrivel_A_sum,packet_inter_arrivel_B_min,device_category
0,55.2962963,0.004740834,0.865206003,9.54E-07,0
0,54.26086957,0.000799894,0.842108965,7.87E-06,0
0,59.00537634,0.000396967,257.1926322,0,0
0,55.32723577,0.000120163,213.8893991,2.15E-06,0
0,53.26086957,0.000131011,1.07717514,0,0
0,54.90151515,0.000120163,216.3415768,5.96E-06,0
0,56.89705882,0.000121117,216.7923501,2.00E-05,0
0,56.64347826,0.000120878,215.821785,7.87E-06,0
0,54.82857143,0.000120163,216.5835578,2.10E-05,0
0,56.79661017,0.000120878,215.7060759,0,0
0.003086,64,0.000346422,0.038891077,3.00E-05,0
0.004352,64,0.000375509,0.036231041,3.10E-05,0
0.003146,64,0.000150681,0.035856009,3.19E-05,0
0,58.89583333,0.003971577,10.5253942,7.15E-06,0
0,57.07272727,0.000121117,34.84963799,9.06E-06,0
0,56.57905138,0.000120163,34.84823012,1.91E-06,0
0,58.95,8.70E-05,0.517365932,6.91E-06,0
0,157,0,0,0,0
0,58.28571429,7.01E-05,213.1689501,3.10E-06,0
0,55.45,0.000822544,0.538616896,8.11E-06,0
0,58.9,0.009206772,182.8127179,6.10E-05,0
0,59.21167883,0.009407997,220.4038451,1.19E-06,0
0,57.07142857,0.000121117,181.882385,1.19E-05,0
0,59.18518519,0.003495991,194.5184321,2.10E-05,0
0,55.80398258,0.000120878,59.01630616,9.54E-07,0
0,55.31448183,0.000120878,204.9242461,1.91E-06,0
0,58.61111111,0.000120521,181.937542,9.06E-06,0
0,144.0689655,0.000320911,2.85935092,2.86E-06,0
0,56.98607889,0.000120878,1.732352018,1.91E-06,0
0,140.7619048,0.000102043,1.088965178,1.00E-05,0
0,137.7647059,0.000704467,21.97180986,8.11E-06,0
0,58.41666667,0.001190662,0.994663,0.000101089,0
0,59.28,0.004808664,180.8166592,0.000102043,0
0,58.93103448,0.001778424,180.9616199,2.10E-05,0
0,59,0.001927435,191.2585251,2.00E-05,0
0,59.07407407,0.000760555,180.794486,2.00E-05,0
0,59.2027027,0.012169361,200.5970991,0,0
0,53.26086957,0.001049042,0.853458881,7.87E-06,0
0,54.42857143,0.00024581,0.77736783,1.12E-05,0
0,55.04,0.001648307,0.918535948,1.00E-05,0
0,55.64959582,0.000120878,182.7845581,9.54E-07,0
0.002528,64,0.000375986,0.034359932,3.10E-05,0
0.005106,64,0.000370502,0.032335997,4.10E-05,0
0.003038,64,0.000375986,0.034723997,3.10E-05,0
0.004376,64,0.000220537,0.028601885,4.10E-05,0
0,55.3589019,0.000120878,36.89388895,1.91E-06,0
0,56.44764795,0.000120878,46.95989108,9.54E-07,0
0,142.52,2.86E-05,1.942173004,9.54E-07,0
0,57.10197544,0.000120163,1.882961035,9.54E-07,0
0,133.8181818,0.001214027,20.66725302,2.86E-06,0
0,54.38095238,0.00120765,0.797986031,1.69E-05,0
0,54.57142857,0.033226967,0.251839161,1.60E-05,0
0,54.38095238,0.001181722,0.72180295,2.15E-06,0
0,54.66666667,0.001872063,0.87923193,1.91E-06,0
0.002755,64,7.94E-05,0.514246225,1.41E-05,0
0.00436,64,0.000375986,0.510402203,3.10E-05,0
0.002847,64,0.000185609,0.037689924,3.10E-05,0
0.004176,64,9.49E-05,0.029852152,3.10E-05,0
0,57.04184389,0.000120878,132.5971129,1.00E-05,0
0,58.03225806,0.000491142,1.418072939,9.06E-06,1
0,55.80555556,2.10E-05,3.048757076,9.54E-07,1
0,56.61764706,8.72E-05,3.327024937,5.96E-06,1
0.114485,57.8,0.064017534,0.403955936,8.30E-05,1
