http_time_avg,ttl_avg,packet_inter_arrivel_B_firstQ,packet_inter_arrivel_A_sum,packet_inter_arrivel_B_min,device_category
0,255,0,1.523916006,0,2
0,255,0,1.496259212,0,2
0,255,0,392.048183,0,2
0,255,0,1.499198914,0,2
0,255,0,2735.949503,0,2
0,255,0,1.424278021,0,2
0,255,0,1.498867989,0,2
0,255,0,1.49892211,0,2
0,255,0,1.495419979,0,2
0,255,0,2857.161242,0,2
0,255,0,1.498960972,0,2
0,255,0,1.54539609,0,2
0,255,0,1.49732399,0,2
0,255,0,1.487643957,0,2
0,255,0,1.498912811,0,2
0,255,0,1.498831987,0,2
0,255,0,1.498939991,0,2
0,255,0,1.498960972,0,2
0,255,0,1.494934797,0,2
0,255,0,1.5077672,0,2
0,255,0,1.499282837,0,2
0,255,0,1.498713017,0,2
0,255,0,1954.799431,0,2
0,255,0,1.497099876,0,2
0,255,0,1.524096966,0,2
0,255,0,1.485894918,0,2
0,255,0,1.498735905,0,2
0,255,0,1.499052048,0,2
0,58.51851852,0.092005968,120.9956191,4.82E-05,3
0.273968,57,0.11793685,0.511018038,0.111965895,3
2004318071,127.579235,0.001398027,2039.267733,9.54E-07,3
0,57.36842105,0.002511561,0.645288944,9.54E-07,3
0.472107,89.46153846,0.021887064,1.628344059,1.50E-05,3
2147483647,128.972973,0.003003001,865.693768,1.91E-06,3
2147483647,125.75,3.80E-05,1.553046942,1.19E-05,3
0,56.55332198,5.110104263,13883.54917,2.38E-05,3
2147483647,126,0.003653228,731.8082042,1.19E-06,3
0.424593,86.375,0.109964967,0.678064823,0.001379967,3
0,56.125,0.001061916,1.592013121,0,3
0,56.66773253,5.104006052,58344.29397,0.007990122,3
0,55.90340909,5.087971926,379.3086829,4.91E-05,3
0,55.55,0.103013217,5.872210979,4.89E-05,3
1342177280,128.21,9.85E-05,1445.539448,1.91E-06,3
0,60.5,0,0,0,3
2147483647,125.75,0.001270056,1.49314785,9.06E-06,3
1342177280,128.21,9.85E-05,1445.539448,1.91E-06,3
2147483647,125.1666667,0.001066804,1.41829896,1.91E-06,3
